title,artist,tempo,chroma_number,zcr_mean,zcr_std,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,mfcc_2_mean,mfcc_5_mean,mfcc_6_mean,spectral_centroid_std,spectral_entropy_std,spectral_spread_std,chroma_7_std,delta chroma_2_std,delta chroma_3_std,delta chroma_9_std,delta chroma_std_std,delta energy_std,delta mfcc_1_std,delta mfcc_3_std,delta mfcc_13_std,delta spectral_centroid_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_spread_std,primary,secondary
Pray Slow,Chase Shakur,80.74951171875,-0.0004073584414761,0.0229471777113834,0.0173293800022675,0.106519794712023,3.1497256986120976,0.1005294307808669,0.163562167365935,0.1412080059407808,2.9633211750272155,-0.0058255417415537,-0.0021087339536008,0.0387479245196652,0.1687394764526469,0.0361955449237478,0.0525174530220878,0.0034982167856531,0.0645521724732464,0.005268601766815,0.0174410614233345,0.059471924665593,1.0059599331833795,0.4033389574941809,0.2245752229499578,0.0459460217170993,0.175943003729339,0.0132252429175709,0.0485873909158481,4,5
Reborn,Colin Stetson,143.5546875,-0.0097264248860467,0.0400072947305838,0.0077537359538598,0.0383731845748964,3.2128713657050705,0.111733301672216,0.1616637087302465,0.2668270767897905,2.254198778018898,0.0170947516633111,0.1686324412798091,0.0191651914365658,0.0669981145308018,0.0280141208319851,0.0182820545573763,0.0033654342784842,0.0225945738916987,0.0025825302023398,0.0079030264063482,0.0070912717129444,0.3624963324550782,0.2627634933246903,0.1937609396035604,0.0229640216016416,0.0724392672926795,0.0024620475276438,0.0354533366725891,1,4
Roll,Ethan Fields,112.34714673913044,0.0134940971338659,0.0319868765543695,0.021660678277369,0.0650579122017507,3.1231522380204075,0.1250367504202138,0.1776137420614719,0.2246038226016606,2.750968278023551,-0.0515734886747293,0.0534678421404758,0.0434474642662342,0.2336838194620024,0.0322768852381699,0.0781668023190827,0.0066829339254121,0.0435705502668,0.0142314759918623,0.0213025886758348,0.0488940748782327,1.808481462144773,0.5788860603891625,0.2742847569990454,0.0535001873704224,0.2871505183508362,0.0145512169728508,0.0410035551194796,2,3
12,Home,89.10290948275862,0.0406400281788058,0.0106076660917661,0.007553172062603,0.0724236881915851,3.085241567216946,0.0725424783299161,0.1472209713342365,0.039319995083115,3.8451359354949535,0.1911563626165397,0.3802338902954158,0.028915086253446,0.0793663760051475,0.0335307469604606,0.0450895600813307,0.0010889966861264,0.0414844943941911,0.0012659237607806,0.0088887427573924,0.0122988899714356,1.3724625530844228,0.4347423950747837,0.1803171814152694,0.0353390020955858,0.0912046253345932,0.0194577509384936,0.0455629679998381,4,5
Byzantium,Home,135.99917763157896,0.0101421844801268,0.0386841517922694,0.0181102084455351,0.0497136324941057,3.150813304170889,0.1192997574213716,0.1564932719470477,0.3789885683238305,1.2633335894868891,0.2173155259168791,0.4232226588300919,0.0335608430861108,0.2555889137183041,0.0303154303740182,0.0786886760780172,0.0022627822564945,0.0359111582537598,0.0080398349796497,0.0205769917923263,0.0377218523471099,1.3572492945209078,0.4840789642156258,0.2196207415781582,0.0486344650945822,0.3913169856618375,0.0136476808810552,0.0433698872670091,1,3
Drawing The Blinds,Home,89.10290948275862,-0.010804383356525,0.0418246424393555,0.0172216699463178,0.0296548160663699,3.1383348052179483,0.1234258896074518,0.1690074003711801,0.3103870152971181,1.642579782738449,-0.2717734083602158,-0.0630199986950382,0.0289893633382265,0.2044690394142171,0.0227032478021403,0.0587167900226106,0.0062090827293474,0.0384761970504455,0.0021840987749651,0.0147038086303742,0.0315613282944903,1.096699668353731,0.4085453612588721,0.2441427458583438,0.0354294761702733,0.2402432875128183,0.0100296244789916,0.0292540711585395,2,4
Head First,Home,135.99917763157896,-0.0094894274181011,0.03558180394479,0.0166678282430547,0.0427643390680695,3.0969838950110145,0.1000856415281718,0.1462461075320626,0.3062397457354906,1.8055189353499053,0.0386159346755753,0.2193042386092439,0.0251813550857055,0.2014693840483445,0.0336116283588558,0.0675577391690219,0.0049753648426724,0.0462668140878292,0.0060160743228834,0.0189965133607187,0.0427320423271152,1.1806233535194632,0.5039448402253376,0.2186343969533287,0.0292967592996684,0.2319964320299052,0.0097173664764189,0.0435190179716819,1,2
Intro,Home,99.38401442307692,-0.0446638047973218,0.0231399847167828,0.0037547857935806,0.0348307496474503,3.1789036066801715,0.0759272317722711,0.141991694391996,0.0636136777392234,2.4734471236354456,-0.3600161649501422,-0.1202711192228558,0.0229927128357843,0.0244825394425697,0.0406354127561448,0.0279650125366448,0.0019678468006916,0.0278547359922733,0.0110855210405039,0.009982408833788,0.0109223783677604,0.8609714754384876,0.2994060543732288,0.22686883990006,0.0306448448201102,0.0273161421714237,0.0087145995641399,0.0543899519192493,2,4
Resonance,Home,112.34714673913044,-0.0231231165504087,0.0192537033334765,0.0078386687313769,0.1135059063497975,3.137958829072094,0.0781182848209834,0.1452605324544384,0.075254433848847,2.0970455466333378,-0.2143130035025926,0.2816219830205802,0.0241749728876538,0.0600091592374678,0.0415734266394598,0.0781419657965482,0.0024084296805854,0.0499877627456352,0.0057558878541187,0.0229190390845324,0.0619210927022857,0.93258547537456,0.4863025115957285,0.2014687774821714,0.03281983466792,0.0788706097453164,0.0123689823770021,0.0572983647738444,2,5
Gravitational Forces,ITG Studios,135.99917763157896,-0.0041965638458608,0.0177984018395464,0.0072633535863402,0.045727476776517,3.040058237423844,0.093822133887297,0.1659212652193248,0.1039044115197681,2.491694355951696,0.0933904098412821,0.2561129801938355,0.0231047675396986,0.0638675234996148,0.032126535493812,0.0646085030179764,0.004528815810615,0.0617035085030854,0.0027706144109024,0.0160760695122809,0.0201397756579149,1.0986463503451112,0.2876036936621654,0.184712060485255,0.0317845760489842,0.0811709667737753,0.0072621044264483,0.0451569437828078,1,6
