title,artist,tempo,chroma_number,zero_crossing_rate,energy_entropy,spectral_centroid,primary,secondary
Pray Slow,Chase Shakur,80.74951171875,-0.0004073584414761695,0.022947177711383472,3.1497256986120976,0.10052943078086693,3.0,4.0
All Your Love,Jakob Ogawa,86.1328125,-0.012112732377585773,0.03261124426844519,3.0939926332847745,0.09854040928260131,1.0,3.0
Looking Out For You,Joy Again,99.38401442307692,0.009437577253664455,0.04594061628242538,3.1096615205338263,0.11267540659206553,4.0,2.0
Feel Like A Fool,Kali Uchis,107.666015625,-0.009557425001545506,0.055726635833186974,3.1668453757083332,0.1413140434029714,1.0,6.0
Telepatía,Kali Uchis,83.35433467741936,0.021440045397004556,0.03960684131618401,3.146406033876825,0.12528037069009923,1.0,5.0
i want war (BUT I NEED PEACE),Kali Uchis,89.10290948275862,-0.04676906906754075,0.04418858073704376,3.1249685417076516,0.13918097637439986,5.0,6.0
Parking Lots,Plums,151.99908088235293,0.018691798830672512,0.07022741357177636,3.2242204642338406,0.14278483431133676,5.0,2.0
Annie Chases a Butterfly,Silk Skin Lovers,129.19921875,0.014116433212069585,0.028824007964207594,3.1853431487438795,0.09730433314226968,3.0,4.0
F Song,Strawberry Guy,172.265625,-0.015071489046958512,0.04024065582881756,3.1842164413287355,0.09775342599219283,4.0,2.0
Birds Dont Sing,TV Girl,107.666015625,0.014082066760680278,0.05889259787399534,3.171877593054556,0.13407149002437027,3.0,2.0
Blue Hair,TV Girl,135.99917763157896,0.021435717096679272,0.050455186557403255,3.158150521746579,0.13265653876611197,3.0,4.0
Blue Hair (sped up),TV Girl,107.666015625,-0.005826635627027617,0.04231947643315283,3.1462604336246587,0.11755421669774944,3.0,1.0
Cigarettes out the Window,TV Girl,117.45383522727273,-0.02810830902118418,0.06063404591013142,3.166266682123512,0.1495874635908255,2.0,1.0
Lovers Rock,TV Girl,103.359375,-0.011971645807991774,0.05789834116389911,3.1158386934807925,0.14133315834657045,2.0,1.0
Natalie Wood,TV Girl,135.99917763157896,-0.009787856948709322,0.06177978929294907,3.1171415624988663,0.14851825778794595,3.0,4.0
Not Allowed,TV Girl,103.359375,-0.017937753189320494,0.035048964004839686,3.1584445202930196,0.09830467033389301,2.0,1.0
Telephones,VACATIONS,151.99908088235293,0.00474352147161062,0.03146944607435103,3.186214992458606,0.11188928412172951,3.0,4.0
Actors,Vacations,151.99908088235293,0.025784556156763297,0.05791860626199299,3.1999934078431505,0.12371715508854791,4.0,5.0
On Your Own,Vacations,143.5546875,0.018562401332187423,0.04782866428933496,3.184204659579122,0.11482914444818783,2.0,5.0
Fly Out West,Yot Club,172.265625,0.010771384181091139,0.048200933367902515,3.1898752514017676,0.10719607162674324,2.0,5.0
i hope she loves me back,boy pablo,172.265625,-0.014764327699690405,0.044763252702007206,3.211649268723263,0.11572482518042773,2.0,3.0
